GPStime,peakFreq,snr,Standard example? (y/n)
1242345299.188,31.035,11.172,y
1238547276.188,31.288,12.384,y
1249582581.125,29.216,9.927,y
1238355244.625,29.566,28.973,y
1245108380.875,33.983,13.812,y
1247527517.438,29.948,11.939,y
1250733639.438,31.594,8.74,y
1241804336.125,34.305,18.946,n
1251531737.313,29.418,11.776,y
1250992594.813,36.65,61.854,y
1243616671.938,45.544,21.314,y
1244956434.313,23.75,17.59,y
1251537949.563,32.162,10.08,y
1250735417.938,27.886,8.951,y
1244349756.375,32.415,12.003,n
1253657368.938,19.174,12.747,y
1244948631.625,30.341,11.301,y
1245564000.063,31.594,16.414,y
1252098094.875,31.509,8.521,y
1247369169.625,28.941,12.764,y
1238370791.875,29.288,16.351,y
1238619900.313,33.005,46.976,y
1238973292.875,28.739,47.113,y
1249582589.125,27.606,10.244,y
1248312275.188,31.035,12.51,y
1244956010.469,31.798,8.93,y
1248261226.188,28.388,9.498,n
1253940602.875,33.033,8.278,y
1241074402.375,33.033,8.263,n
1246224561.688,25.507,18.145,y
1253298597.063,26.909,10.296,y
1242273531.438,32.741,9.056,y
1253297659.813,27.393,11.547,y
1253297982.688,27.393,10.447,y
1244054902.625,34.305,24.863,y
1253419119.625,24.416,10.428,y
1242846069.938,29.418,9.686,y
1242775024.313,30.487,9.347,y
1244523044.063,31.594,10,y
1247454393.375,28.4,7.949,n
1242267051.375,24.882,22.939,y
1245672096.375,33.347,14.494,y
1249587109.375,30.629,10.091,y
1247969938.063,31.035,9.547,y
1244062529.688,28.898,9.69,y
1244980791.063,29.948,8.683,y
1238373065.875,26.645,12.605,y
1242265785.875,29.216,12.509,y
1240329588.438,30.736,10.214,y
1242846544.625,30.92,8.715,y
1238547728.625,30.417,11.199,y
1253297452.813,29.948,7.74,y
1239445146.375,32.499,51.58,y
1242267156.375,34.305,13.849,y
1247107494.438,29.948,8.9,n
1244984238.375,29.216,11.665,y
1247673664.875,31.809,8.566,y
1247969999.938,33.33,13.855,y
1252799904.875,28.669,8.596,y
1247970027.625,33.347,15.286,y
1247531087.875,31.809,14.421,y
1238353178.313,30.193,7.884,y
1249584895.125,19.099,12.579,y
1242363168.375,33.983,9.576,n
1245113746.188,30.487,8.333,y
1251537089.625,28.669,15.71,y
1253941373.125,31.509,15.26,y
1250730523.688,26.909,11.061,y
1248311486.125,30.341,7.833,y
1247107340.188,29.948,13.018,y
1252797004.313,32.162,7.511,y
1238562574.875,29.012,18.159,y
1245773734.625,30.341,12.355,y
1238599646.688,32.423,12.303,y
1238617882.375,31.293,8.58,y
1247122943.625,30.92,9.892,y
1245362677.375,29.216,11.399,y
1247768678.813,29.948,9.728,y
1242265181.375,33.033,12.888,y
1253583984.125,31.213,14.468,y
1251537916.813,24.613,20.059,y
