GPStime,peakFreq,snr,Standard example? (y/n)
1262504106.676,26.015,11.979,n
1257465753.973,26.015,7.662,y
1260205597.125,33.347,12.317,y
1259209429.109,30.288,8.283,y
1259400357.094,25.146,16.74,n
1258025036.313,26.909,8.037,y
1260181452.813,36.65,13.231,y
1262944328.023,30.734,8.777,y
1262512621.516,28.43,8.014,y
1262708948.820,30.734,9.723,y
1260563744.875,31.213,8.345,y
1257558407.875,30.92,10.212,y
1260559855.563,33.33,15.087,y
1259254611.313,24.178,8.894,y
1262250693.648,27.308,7.674,y
1259316579.945,30.734,8.032,y
1262511019.520,32.173,12.102,y
1259256629.445,30.734,8.397,y
1262515593.973,26.015,7.663,y
1262230977.404,60.857,14.911,y
1257290027.688,25.507,9.337,y
1262816114.375,31.213,7.832,y
1257964859.461,34.59,9.991,y
1262872709.313,19.174,8.479,y
1260207048.984,28.43,7.729,y
1260257566.875,29.216,8.385,n
1259263824.867,27.308,8.145,y
1260222539.547,32.268,7.851,y
1260620634.117,30.734,7.639,y
1260569614.480,26.015,8.081,y
1262505010.336,34.59,7.667,y
1257557973.375,33.347,7.717,y
1260538167.070,27.308,18.102,n
1257271995.438,37.762,9.953,y
1258000526.133,27.308,7.703,y
1257260644.441,32.173,9.406,y
1263031848.625,26.583,8.63,y
1260070992.621,32.173,7.893,y
1260623817.375,25.118,18.15,y
1260209473.367,27.308,9.194,y
1262810668.125,31.809,7.815,y
1262179170.063,37.704,8.976,y
1261667282.117,27.308,11.34,y
1262845326.813,28.388,11.933,n
1258566876.313,26.909,7.616,y
1258012917.828,28.43,7.611,n
1259211661.813,35.965,9.348,n
1259208456.102,30.734,10.574,y
1260568317.875,18.92,7.715,y
1260630899.773,30.734,11.453,y
1262305592.609,26.685,7.527,n
1260617961.875,26.583,9.294,y
1258971044.332,26.015,7.85,y
1260539890.313,29.418,8.478,y
1260297792.309,26.015,13.394,n
1260604325.527,32.173,11.322,y
1262522342.145,26.015,7.613,y
1258965893.418,26.015,7.782,y
1262509338.418,32.173,10.968,y
1257819333.313,32.741,10.052,n
1257745416.449,26.015,7.833,y
1261539797.527,26.015,11.275,y
1260325537.125,32.11,8.314,y
1259249151.633,27.308,7.873,y
1260548929.137,26.015,14.406,y
1260186535.984,36.625,11.696,y
1258855630.359,30.288,8.38,n
1259259250.563,29.418,10.266,y
1259211138.410,26.015,7.995,y
1259264857.688,33.33,10.234,y
1262502799.813,19.174,8.563,y
1260176446.172,30.288,7.661,y
1262361099.172,36.625,8.177,y
1259265831.148,30.734,8.786,y
1259290126.188,24.178,8.36,y
1260926732.141,30.288,7.592,y
1259413697.117,30.734,8.714,y
1260187860.898,38.93,9.371,y
1260559930.539,30.734,11.562,y
1259253850.938,31.594,10.678,y
1260313604.188,28.388,9.095,y
1262167538.172,28.43,7.547,y
1259206121.004,32.173,11.405,y
1259206646.238,32.173,10.554,y
1262514606.688,31.594,11.202,y
1262334944.125,28.941,11.614,y
1259215641.125,30.056,8.135,y
1262155008.438,27.393,7.52,y
1262350183.125,29.493,8.642,n
1262502856.961,30.734,8.924,y
1260616926.539,30.734,9.253,y
1260204486.375,30.629,8.374,y
1258011345.965,39.789,7.651,y
1262706467.008,27.308,9.014,y
1258872401.441,32.173,10.132,y
1262281332.227,30.734,8.331,y
1260630135.469,24.316,9.386,y
1257668801.633,43.814,7.994,n
1262948432.156,28.755,11.148,y
1262364336.859,32.268,9.499,y
1260594410.930,30.734,15.987,y
1259294586.031,25.146,8.407,y
1259206127.125,33.033,14.709,n
1262716304.258,30.734,10.216,y
1258888087.688,26.909,7.578,y
1262509273.293,32.173,9.396,y
1260554945.555,30.734,9.278,y
1259396893.426,26.015,7.873,y
1257291447.484,26.685,8.948,y
1260632179.813,25.056,7.604,y
1262693413.074,26.015,9.885,y
1257004984.813,24.178,15.633,n
1257306533.625,32.415,11.645,y
1257752873.352,27.308,7.502,n
1257754062.313,29.418,8.913,y
1262503476.125,30.056,8.194,y
1262973670.492,27.308,8.019,y
1262511714.855,32.173,11.7,y
1261968584.563,23.75,7.787,y
1257989874.078,34.378,7.724,n
1258702736.375,25.597,7.683,y
1262298368.016,32.268,7.768,n
1262503014.738,32.173,12.022,y
1262180301.563,32.741,7.708,y
1262326401.703,30.288,9.141,y
1257349218.055,34.59,9.172,n
1260540764.125,30.056,11.288,y
1262811560.625,28.941,12.886,y
1259215575.488,26.015,8.414,y
1259261547.559,32.173,9.651,y
1262865993.313,32.741,9.413,y
1262511110.688,32.162,10.209,y
1262751489.668,32.173,11.117,y
1260166096.773,30.734,8.697,y
1259209598.129,26.015,9.123,y
1260614442.273,30.734,8.069,y
1260608773.711,34.59,7.769,y
1262341414.438,19.174,9.023,y
1257783709.664,27.308,7.615,n
1262515037.121,32.173,12.901,y
1260564375.477,27.308,13.017,y
1262307277.297,26.685,7.678,n
1262811389.188,31.594,11.246,y
1258112686.684,32.173,8.227,y
1259252238.258,30.734,9.942,y
1258012675.336,43.814,8.527,y
1257991023.938,29.418,8.689,y
1262374686.813,32.162,10.091,y
1258011236.816,32.173,8.743,y
1258603448.590,26.015,7.586,y
1257891834.020,32.173,9.537,y
1260612945.898,27.308,7.833,y
1257261573.801,32.173,8.685,y
1262935852.188,28.388,8.285,y
1260197888.230,32.173,11.282,n
1262795246.492,30.734,8.56,y
1260562268.813,31.594,10.614,y
1267924984.684,32.173,13.925,y
1261541411.238,32.173,12.538,y
1262944936.469,30.749,10.103,y
1259264846.125,31.509,11.552,y
